time,value
0.0,4651.646432782383
0.036052325581398,4181.933277193888
0.0721046511627925,3773.073525247132
0.108156976744187,3417.576749141336
0.1442093023255815,3108.109032038255
0.1812630813953504,2831.514783347968
0.2173154069767449,2816.1147850656803
0.2533677325581394,10310.374043186996
0.2894200581395374,15824.882483936846
0.3254723837209319,15289.732022739674
0.3625261627907008,13696.166688994892
0.3985784883720953,12072.113660640423
0.4346308139534898,10654.190209998602
0.4706831395348843,9415.527010304
0.5067354651162823,8333.264952201394
0.5437892441860477,7363.84543239436
0.5798415697674422,6543.290483295693
0.6158938953488402,5829.0330065310045
0.6519462209302347,5207.226635434233
0.6890000000000001,4651.797805153855
